Zip,City,State,HOH College,Spouse College
38583-1446,Sparta,TN,Agriculture,Business Administration
37095-4057,Liberty,TN,Agriculture,Business Administration
38506-7617,Cookeville,TN,Agriculture,Business Administration
37110-8504,Mc Minnville,TN,Agriculture,Business Administration
38568-6243,Hilham,TN,Agriculture,Business Administration
38549-0370,Byrdstown,TN,Agriculture,Business Administration
37312-2322,Cleveland,TN,Agriculture,Business Administration
37310-5153,Charleston,TN,Agriculture,Business Administration
37322-7407,Decatur,TN,Agriculture,Business Administration
37303-6513,Athens,TN,Agriculture,Business Administration
38562-6333,Gainesboro,TN,Agriculture,Business Administration
37681-2803,Limestone,TN,Agriculture,Business Administration
38478-8125,Pulaski,TN,Agriculture,Business Administration
38555-1532,Crossville,TN,Agriculture,Business Administration
23238-4727,Richmond,VA,Agriculture,Business Administration
37318-3703,Cowan,TN,Agriculture,Business Administration
38572-6323,Crossville,TN,Agriculture,Business Administration
37748-4814,Harriman,TN,Agriculture,Business Administration
37055-4325,Dickson,TN,Agriculture,Business Administration
37922-5564,Knoxville,TN,Agriculture,Business Administration
38544-4949,Baxter,TN,Agriculture,Business Administration
37338-7908,Graysville,TN,Agriculture,Business Administration
38504-0461,Allardt,TN,Agriculture,Business Administration
37367-6902,Pikeville,TN,Agriculture,Business Administration
38585-5445,Spencer,TN,Agriculture,Business Administration
38544-2001,Baxter,TN,Agriculture,Business Administration
37075-8744,Hendersonville,TN,Agriculture,Business Administration
37174-3183,Spring Hill,TN,Agriculture,Business Administration
37150-3323,Red Boiling Springs,TN,Agriculture,Education
29642-2012,Easley,SC,Agriculture,Education
77845-9653,College Station,TX,Agriculture,Education
37841-3713,Oneida,TN,Agriculture,Education
37110-2357,Mc Minnville,TN,Agriculture,Education
23322-3165,Chesapeake,VA,Agriculture,Education
37221-1802,Nashville,TN,Agriculture,Education
38571-0287,Crossville,TN,Agriculture,Education
37110-4547,McMinnville,TN,Agriculture,Education
38551-0309,Celina,TN,Agriculture,Education
37150-3214,Red Boiling Springs,TN,Agriculture,Education
37074-5167,Hartsville,TN,Agriculture,Education
37057-5045,Dixon Springs,TN,Agriculture,Education
37027-7341,Brentwood,TN,Agriculture,Education
38583-7243,Sparta,TN,Agriculture,Education
38553-0038,Clarkrange,TN,Agriculture,Education
38506-9064,Cookeville,TN,Agriculture,Education
38506-8542,Cookeville,TN,Agriculture,Education
38565-0025,Grimsley,TN,Agriculture,Education
37046-1411,College Grove,TN,Agriculture,Education
37167-6394,Smyrna,TN,Agriculture,Education
38555-1327,Crossville,TN,Agriculture,Education
37066-4663,Gallatin,TN,Agriculture,Education
38506-7146,Cookeville,TN,Agriculture,Education
37357-8212,Morrison,TN,Agriculture,Education
38506-4260,Cookeville,TN,Agriculture,Education
42366-9714,Philpot,KY,Agriculture,Education
37064-3293,Franklin,TN,Agriculture,Education
37148-8352,Portland,TN,Agriculture,Education
37604-6533,Johnson City,TN,Agriculture,Education
38547-5042,Brush Creek,TN,Agriculture,Education
37179-9209,Thompsons Station,TN,Agriculture,Education
37083-2356,Lafayette,TN,Agriculture,Education
38549-4562,Byrdstown,TN,Agriculture,Education
38548-2008,Buffalo Valley,TN,Agriculture,Education
38575-5251,Moss,TN,Agriculture,Education
38583-2537,Sparta,TN,Agriculture,Education
37122-2192,Mount Juliet,TN,Agriculture,Education
30736-5083,Ringgold,GA,Agriculture,Education
37030-2017,Carthage,TN,Agriculture,Education
37127-6406,Murfreesboro,TN,Agriculture,Education
38549-4416,Byrdstown,TN,Agriculture,Education
42355-9617,Maceo,KY,Agriculture,Education
38025-0337,Dyersburg,TN,Agriculture,Education
42602-1167,Albany,KY,Agriculture,Education
37150-3237,Red Boiling Springs,TN,Agriculture,Education
98948-0031,Toppenish,WA,Agriculture,Education
37876-1826,Sevierville,TN,Agriculture,Education
28681-3519,Taylorsville,NC,Agriculture,Education
37343-3378,Hixson,TN,Agriculture,Education
38506-8266,Cookeville,TN,Agriculture,Education
38573-5237,Monroe,TN,Agriculture,Education
37874-5805,Sweetwater,TN,Agriculture,Education
37083-3505,Lafayette,TN,Agriculture,Education
37110-4708,Mc Minnville,TN,Agriculture,Education
38553-5123,Clarkrange,TN,Agriculture,Education
28540-8220,Jacksonville,NC,Agriculture,Education
38501-9402,Cookeville,TN,Agriculture,Education
38582-6334,Silver Point,TN,Agriculture,Education
38567-5077,Hickman,TN,Agriculture,Education
38583-5131,Sparta,TN,Agriculture,Education
37303-4142,Athens,TN,Agriculture,Education
38543-6163,Alpine,TN,Agriculture,Education
38555-1482,Crossville,TN,Agriculture,Education
38501-1521,Cookeville,TN,Agriculture,Education
38556-0923,Jamestown,TN,Agriculture,Education
37075-8741,Hendersonville,TN,Agriculture,Education
37166-7309,Smithville,TN,Agriculture,Education
38556-2133,Jamestown,TN,Agriculture,Education
37846-0030,Philadelphia,TN,Agriculture,Education
38556-5732,Jamestown,TN,Agriculture,Education
38553-5207,Clarkrange,TN,Agriculture,Education
37841-5003,Oneida,TN,Agriculture,Education
37312-1006,Cleveland,TN,Agriculture,Education
38501-2052,Cookeville,TN,Agriculture,Education
38570-0233,Livingston,TN,Agriculture,Education
38583-5165,Sparta,TN,Agriculture,Education
37357-5669,Morrison,TN,Agriculture,Education
38551-6101,Celina,TN,Agriculture,Education
38568-5507,Hilham,TN,Agriculture,Education
38562-5576,Gainesboro,TN,Agriculture,Education
38582-6247,Silver Point,TN,Agriculture,Education
38551-3009,Celina,TN,Agriculture,Education
38549-4599,Byrdstown,TN,Agriculture,Education
37030-2156,Carthage,TN,Agriculture,Education
38571-2345,Crossville,TN,Agriculture,Education
38549-4626,Byrdstown,TN,Agriculture,Education
37166-7489,Smithville,TN,Agriculture,Education
38506-3117,Cookeville,TN,Agriculture,Education
38242-8447,Paris,TN,Agriculture,Education
37057-5609,Dixon Springs,TN,Agriculture,Education
37327-4766,Dunlap,TN,Agriculture,Education
37933-0732,Knoxville,TN,Agriculture,Education
38583-3222,Sparta,TN,Agriculture,Education
38506-8551,Cookeville,TN,Agriculture,Education
37841-7451,Oneida,TN,Agriculture,Education
37075-4038,Hendersonville,TN,Agriculture,Education
38583-1414,Sparta,TN,Agriculture,Education
37110-1814,Mc Minnville,TN,Agriculture,Education
37046-9109,College Grove,TN,Agriculture,Education
37074-4058,Hartsville,TN,Agriculture,Education
37204-4114,Nashville,TN,Agriculture,Education
38580-1816,Rickman,TN,Agriculture,Education
37087-3006,Lebanon,TN,Agriculture,Education
37030-2116,Carthage,TN,Agriculture,Education
37172-4419,Springfield,TN,Agriculture,Education
37322-7415,Decatur,TN,Agriculture,Education
38261-1916,Union City,TN,Agriculture,Education
38580-0314,Rickman,TN,Agriculture,Education
38544-4552,Baxter,TN,Agriculture,Education
38577-5238,Pall Mall,TN,Agriculture,Education
37918-2271,Knoxville,TN,Agriculture,Education
37716-5513,Clinton,TN,Agriculture,Education
38556-5548,Jamestown,TN,Agriculture,Education
38583-1422,Sparta,TN,Agriculture,Education
38547-4619,Brush Creek,TN,Agriculture,Education
29934-5916,Pineland,SC,Agriculture,Education
37145-3236,Pleasant Shade,TN,Agriculture,Education
37312-3053,Cleveland,TN,Agriculture,Education
38571-0972,Crossville,TN,Agriculture,Education
38506-5972,Cookeville,TN,Agriculture,Education
38573-6358,Monroe,TN,Agriculture,Education
37160-4939,Shelbyville,TN,Agriculture,Education
37166-4902,Smithville,TN,Agriculture,Education
37087-7939,Lebanon,TN,Agriculture,Education
37087-8201,Lebanon,TN,Agriculture,Education
80220-3514,Denver,CO,Agriculture,Education
38577-4224,Pall Mall,TN,Agriculture,Education
37087-2189,Lebanon,TN,Agriculture,Education
38574-2004,Monterey,TN,Agriculture,Education
38575-6236,Moss,TN,Agriculture,Education
76255-0464,Nocona,TX,Agriculture,Engineering
37645-3150,Mount Carmel,TN,Agriculture,Engineering
38006-4119,Bells,TN,Agriculture,Engineering
37367-4011,Pikeville,TN,Agriculture,Engineering
38570-5606,Livingston,TN,Agriculture,Engineering
38577-4224,Pall Mall,TN,Agriculture,Engineering
35966-9120,Flat Rock,AL,Agriculture,Engineering
